"","location_name","year_id","age_group_name","sex","cause_name","acause","measure_name","metric_name","val","upper","lower"
"1","Aguascalientes",2017,"All Ages","Both","Tuberculosis","tb","Deaths","Number",15.3931172897132,17.3648786713511,13.6436604109654
"2","Aguascalientes",2017,"All Ages","Both","HIV/AIDS","hiv","Deaths","Number",45.35181750543,47.51127572225,43.33250773745
"3","Aguascalientes",2017,"All Ages","Both","Encephalitis","encephalitis","Deaths","Number",9.11576886004623,10.419461846637,7.66060065936358
"4","Aguascalientes",2017,"All Ages","Both","Tetanus","tetanus","Deaths","Number",0.0581766290374365,0.184597287738079,0.0357317071466609
"5","Aguascalientes",2017,"All Ages","Both","Measles","measles","Deaths","Number",3.42174129805346e-06,1.88624876709932e-05,0
"6","Aguascalientes",2017,"All Ages","Both","African trypanosomiasis","ntd_afrtryp","Deaths","Number",0,0,0
"7","Aguascalientes",2017,"All Ages","Both","Schistosomiasis","ntd_schisto","Deaths","Number",0,0,0
"8","Aguascalientes",2017,"All Ages","Both","Rabies","ntd_rabies","Deaths","Number",0.00038704322017285,0.000473403770876573,0.000319917171444699
"9","Aguascalientes",2017,"All Ages","Both","Neonatal preterm birth","neonatal_preterm","Deaths","Number",63.0584064853266,78.4197138793411,50.3280133503972
"10","Aguascalientes",2017,"All Ages","Both","Protein-energy malnutrition","nutrition_pem","Deaths","Number",48.5551457663777,53.2854708385115,43.4177512445747
"11","Aguascalientes",2017,"All Ages","Both","Syphilis","std_syphilis","Deaths","Number",3.36880740881877,7.97230150789516,0.96718421248361
"12","Aguascalientes",2017,"All Ages","Both","Neoplasms","_neo","Deaths","Number",897.326395705373,952.133698940225,844.71374424851
"13","Aguascalientes",2017,"All Ages","Both","Cardiovascular diseases","cvd","Deaths","Number",1152.02753521058,1215.51250383792,1092.02490880059
"14","Aguascalientes",2017,"All Ages","Both","Chronic respiratory diseases","resp","Deaths","Number",431.575970981393,459.487932712711,404.077565731339
"15","Aguascalientes",2017,"All Ages","Both","Asthma","resp_asthma","Deaths","Number",11.6891572324016,13.1726233139047,10.3478394196121
"16","Aguascalientes",2017,"All Ages","Both","Cirrhosis and other chronic liver diseases","cirrhosis","Deaths","Number",264.694839362004,290.63409708014,241.457380915826
"17","Aguascalientes",2017,"All Ages","Both","Other digestive diseases","digest_other","Deaths","Number",25.6552510915458,28.6697477565802,23.0616196497253
"18","Aguascalientes",2017,"All Ages","Both","Alzheimer's disease and other dementias","neuro_dementia","Deaths","Number",277.55017798429,299.661732238163,260.057685135254
"19","Aguascalientes",2017,"All Ages","Both","Parkinson's disease","neuro_parkinsons","Deaths","Number",37.5935743626166,44.2583655821606,34.7481402679103
"20","Aguascalientes",2017,"All Ages","Both","Idiopathic epilepsy","neuro_epilepsy","Deaths","Number",20.7796841921227,22.7327542972094,18.9547655892636
"21","Aguascalientes",2017,"All Ages","Both","Multiple sclerosis","neuro_ms","Deaths","Number",3.43981701354682,4.28152606137748,1.5349132319517
"22","Aguascalientes",2017,"All Ages","Both","Other neurological disorders","neuro_other","Deaths","Number",16.9101871082,18.6074602580739,13.91616517325
"23","Aguascalientes",2017,"All Ages","Both","Acute glomerulonephritis","glomerulo","Deaths","Number",0.563179095470483,0.660590811701859,0.479081154029595
"24","Aguascalientes",2017,"All Ages","Both","Chronic kidney disease","ckd","Deaths","Number",572.82535443041,612.3954113632,533.747691683144
"25","Aguascalientes",2017,"All Ages","Both","Musculoskeletal disorders","msk","Deaths","Number",29.5170306303207,32.3006534389246,27.0622098556031
"26","Aguascalientes",2017,"All Ages","Both","Congenital birth defects","cong","Deaths","Number",112.292052507948,139.734788565484,79.6714616807238
"27","Aguascalientes",2017,"All Ages","Both","Injuries","_inj","Deaths","Number",878.041571467493,924.367507077598,834.802330521822
"28","Baja California",2017,"All Ages","Both","Tuberculosis","tb","Deaths","Number",188.296606303622,208.824105865911,167.178662563843
"29","Baja California",2017,"All Ages","Both","HIV/AIDS","hiv","Deaths","Number",289.895421690691,303.85264016725,276.579372575
"30","Baja California",2017,"All Ages","Both","Encephalitis","encephalitis","Deaths","Number",22.8386022048772,27.6544290775765,20.2186970467287
"31","Baja California",2017,"All Ages","Both","Tetanus","tetanus","Deaths","Number",0.325793831529586,0.569712782844698,0.231088164891815
"32","Baja California",2017,"All Ages","Both","Measles","measles","Deaths","Number",1.7402096823777e-05,9.65493835236337e-05,0
"33","Baja California",2017,"All Ages","Both","African trypanosomiasis","ntd_afrtryp","Deaths","Number",0,0,0
"34","Baja California",2017,"All Ages","Both","Schistosomiasis","ntd_schisto","Deaths","Number",0,0,0
"35","Baja California",2017,"All Ages","Both","Rabies","ntd_rabies","Deaths","Number",0.0007599077248982,0.000915666375252475,0.000619048887703396
"36","Baja California",2017,"All Ages","Both","Neonatal preterm birth","neonatal_preterm","Deaths","Number",109.597928022661,133.681911079267,88.1718344702229
"37","Baja California",2017,"All Ages","Both","Protein-energy malnutrition","nutrition_pem","Deaths","Number",74.7370439819008,83.3851626234613,67.2497179577991
"38","Baja California",2017,"All Ages","Both","Syphilis","std_syphilis","Deaths","Number",11.756724218844,26.9913577904749,3.74088114092184
"39","Baja California",2017,"All Ages","Both","Neoplasms","_neo","Deaths","Number",2728.20411594354,2889.35002341624,2565.69213200792
"40","Baja California",2017,"All Ages","Both","Cardiovascular diseases","cvd","Deaths","Number",4465.35657683524,4726.88318920825,4208.51997399808
"41","Baja California",2017,"All Ages","Both","Chronic respiratory diseases","resp","Deaths","Number",690.852876083206,736.2042681009,647.63996200239
"42","Baja California",2017,"All Ages","Both","Asthma","resp_asthma","Deaths","Number",30.3850020599919,34.1482941709326,26.938762869698
"43","Baja California",2017,"All Ages","Both","Cirrhosis and other chronic liver diseases","cirrhosis","Deaths","Number",1078.26827891251,1181.26375597855,980.549986084849
"44","Baja California",2017,"All Ages","Both","Other digestive diseases","digest_other","Deaths","Number",69.639297331253,77.4988475024014,62.5480106865433
"45","Baja California",2017,"All Ages","Both","Alzheimer's disease and other dementias","neuro_dementia","Deaths","Number",680.910606566481,724.266801902711,636.34839034202
"46","Baja California",2017,"All Ages","Both","Parkinson's disease","neuro_parkinsons","Deaths","Number",99.5112394979714,110.858079752791,92.0569942264303
"47","Baja California",2017,"All Ages","Both","Idiopathic epilepsy","neuro_epilepsy","Deaths","Number",38.8819851315891,55.2285600816176,34.5600802703346
"48","Baja California",2017,"All Ages","Both","Multiple sclerosis","neuro_ms","Deaths","Number",9.36815974079422,11.0032312867756,5.90024999945814
"49","Baja California",2017,"All Ages","Both","Other neurological disorders","neuro_other","Deaths","Number",34.5506478484355,38.877095672536,31.1669382465136
"50","Baja California",2017,"All Ages","Both","Acute glomerulonephritis","glomerulo","Deaths","Number",3.03427000951364,3.49809116457192,2.6081319653167
"51","Baja California",2017,"All Ages","Both","Chronic kidney disease","ckd","Deaths","Number",1321.25033204209,1412.69915617933,1232.24591545974
"52","Baja California",2017,"All Ages","Both","Musculoskeletal disorders","msk","Deaths","Number",62.0458617621911,67.567397533121,56.600688555101
"53","Baja California",2017,"All Ages","Both","Congenital birth defects","cong","Deaths","Number",207.04633724013,260.40952904162,158.28675406001
"54","Baja California",2017,"All Ages","Both","Injuries","_inj","Deaths","Number",3033.85477642671,3197.41011261587,2872.48353840783
"55","Baja California Sur",2017,"All Ages","Both","Tuberculosis","tb","Deaths","Number",14.1849525256605,16.0592531955681,12.6223220477556
"56","Baja California Sur",2017,"All Ages","Both","HIV/AIDS","hiv","Deaths","Number",53.32824834685,56.0403314855,50.63407006985
"57","Baja California Sur",2017,"All Ages","Both","Encephalitis","encephalitis","Deaths","Number",4.57465977260889,5.24633260264003,3.89467751353432
"58","Baja California Sur",2017,"All Ages","Both","Tetanus","tetanus","Deaths","Number",0.0638051289108619,0.107465769529154,0.0448505308577706
"59","Baja California Sur",2017,"All Ages","Both","Measles","measles","Deaths","Number",1.85959231057292e-06,1.02759313139706e-05,0
