"","CVE_AGEB","CVEGEO","CVE_ENT","CVE_MUN","CVE_LOC","POB_2010","IND1","IND2","IND3","IND4","IND5","IND6","IND7","IND8","IND9","IND10","CVE_SUN","NOM_SUN","IMU2010","GMU2010","LUGAR_EDO","LUGAR_NAC","total_n","localGvalues","localGvalues.est.num","KNN","dist_num.sy","time_mins.sy","dist_num.otay","time_mins.otay","dist_num.west","time_mins.west","dist_num.east","time_mins.east","dist_num","time_mins","X","establecimientos.num","x","y"
"1","0769","0900200010769","09","002","0001","5172",1.42180094775102,27.9343365253866,25.2100840334566,2.56556442395681,31.1475409836066,0.13670540009297,12.3372172723301,1.173222912325,30.6275579808597,7.8028747431655,13,"Valle de México",-0.580036600015511,"Medium","940","29115",0,2.005,2.005,"c(9679, 9680, 9682, 9705, 9706, 9718, 9719, 9743, 9747, 9751, 9762, 9776, 9777, 9778, 9779, 9781, 11717, 11720, 11731, 11732, 11745)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,834,11,-99.15544739,19.46667835
"2","0576","0900200010576","09","002","0001","3243",1.73267326713663,25.5942947700775,29.1614518150088,3.33642261364721,6.72963400212766,0.118063754189364,10.8747044918342,0.119331742013037,35.0649350651775,7.08382526576246,13,"Valle de México",-0.640385613712646,"Low","1056","30332",0,2.005,2.005,"c(9679, 9680, 9682, 9718, 9719, 9743, 9747, 9751, 9762, 9763, 9777, 9778, 9779, 10154, 10176, 10177, 10226, 10227, 11720, 11731, 11736)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,623,92,-99.1491513,19.47079496
"3","081A","090020001081A","09","002","0001","3260",3.6474164134533,16.6211470930924,28.5344548689256,2.05066344973767,2.41448692143903,0,4.44444444456297,0.201005025163151,15.2847152849167,4.59999999978666,13,"Valle de México",-0.97553709486771,"Very low","1625","36931",0,-0.137,-0.137,"c(9681, 9698, 9701, 9702, 9707, 9720, 9739, 9741, 9748, 9760, 9761, 11845, 11850, 11895, 11896, 11920, 11924, 11940, 11952, 11953, 11958)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,890,18,-99.18181442,19.46087741
"4","0415","0900200010415","09","002","0001","4280",2.44988864118781,20.6572769950673,24.0076978588068,3.10204081655511,1.61160354536921,0.322320708967171,6.4464141820102,0,26.1501210651493,4.03225806465377,13,"Valle de México",-0.860086354302978,"Low","1454","34666",0,1.538,1.538,"c(9679, 9680, 9682, 9718, 9719, 9743, 9747, 9751, 9762, 9763, 9777, 9778, 9779, 10102, 10154, 10176, 10177, 10178, 10226, 10227, 10228)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,446,77,-99.14896041,19.47597565
"5","0881","0900200010881","09","002","0001","5625",1.34310134332471,33.7349397592032,28.3063489175309,2.71593944775304,17.4459176550725,0.209059233683634,27.672955974987,0.767620376949063,31.9860627178611,8.76826722341322,13,"Valle de México",-0.475138647344879,"Medium","756","26966",0,-0.121,-0.121,"c(9682, 9683, 9684, 9687, 9716, 9742, 9743, 9751, 9752, 9762, 9763, 9774, 9776, 9777, 9778, 9779, 10101, 10102, 10218, 10222, 10228)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,957,5,-99.1605384,19.48371355
"6","0877","0900200010877","09","002","0001","804",3.63636363660607,35.5877616749252,32.5870646764391,2.86532951295511,8.59728506764886,0,22.9729729729441,1.80180180159038,42.3423423421742,11.7117117119375,13,"Valle de México",-0.302646160542417,"Medium","541","23580",0,-0.137,-0.137,"c(9683, 9684, 9685, 9687, 9700, 9728, 9744, 9763, 10007, 10008, 10081, 10099, 10101, 10102, 10218, 10219, 10222, 10223, 10224, 27616, 27617)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,952,7,-99.16236954,19.4927426
"7","0222","0900200010222","09","002","0001","6901",2.30366492165585,26.3138067430891,29.4877440189131,2.17306946039725,11.2473347547974,0.106553009928175,11.6266666668231,0.320684126103544,28.5029302075224,7.18849840237188,13,"Valle de México",-0.697708340558533,"Low","1172","31457",0,-0.137,-0.137,"c(9685, 9686, 9687, 9690, 9691, 9708, 9709, 9715, 9727, 9728, 9729, 9730, 9735, 9736, 9744, 9745, 9746, 9766, 9767, 9775, 9780)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234,74,-99.17836998,19.49133071
"8","0326","0900200010326","09","002","0001","7255",1.70212765954042,17.6053843426394,23.4696716748079,2.19863532972818,4.34782608716523,0.044923629742075,7.53270184959159,0.092850510678799,18.9924208646953,3.97498883450684,13,"Valle de México",-0.995290696289677,"Very low","1655","37328",0,-0.137,-0.137,"c(9685, 9686, 9687, 9691, 9699, 9703, 9708, 9709, 9715, 9727, 9728, 9729, 9730, 9735, 9736, 9739, 9745, 9746, 9766, 9767, 9775)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,348,142,-99.18110692,19.48652973
"9","035A","090020001035A","09","002","0001","4788",2.77349768871988,26.2210095499016,20.3863111484838,3.98652442463575,5.41795665614695,0.39123630680355,11.6279069766574,0.077942322816322,22.7799227797642,4.31765612931215,13,"Valle de México",-0.764367100609866,"Low","1296","32758",0,-0.137,-0.137,"c(9683, 9684, 9685, 9686, 9687, 9704, 9716, 9727, 9728, 9739, 9740, 9742, 9745, 9746, 9752, 9762, 9763, 9765, 9766, 9774, 9776)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385,58,-99.17078132,19.48111767
"10","1004","0900200011004","09","002","0001","6765",2.14132762326111,23.1957754740291,24.7370003005526,2.05029013556158,13.9610389608935,0.108108108223428,15.5928532755976,0.65146579813768,25.0675310642043,5.99675850870059,13,"Valle de México",-0.765678541500885,"Low","1300","32787",0,1.361,1.361,"c(9688, 9710, 9711, 9712, 9714, 9726, 9731, 9732, 9733, 9734, 9735, 9737, 9750, 9758, 9759, 9764, 9768, 9770, 9771, 9772, 9773)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1091,59,-99.20437013,19.49202435
