"","CVE_AGEB","CVEGEO","CVE_ENT","CVE_MUN","CVE_LOC","POB_2010","IND1","IND2","IND3","IND4","IND5","IND6","IND7","IND8","IND9","IND10","CVE_SUN","NOM_SUN","IMU2010","GMU2010","LUGAR_EDO","LUGAR_NAC","total_n","localGvalues","localGvalues.est.num","KNN","dist_num.sy","time_mins.sy","dist_num.otay","time_mins.otay","dist_num.west","time_mins.west","dist_num.east","time_mins.east","dist_num","time_mins","X","establecimientos.num","x","y"
"1","4777","1403900014777","14","039","0001","2798",0.952380952558738,7.77479892757247,26.3780984094173,3.75521557720019,0.227014755701843,0.113636363393929,0.229885057716486,0.904977375710414,4.97175141218229,0.675675675863071,21,"Guadalajara",-1.20340478589015,"Very low","2916","40934",0,3.077,3.077,"c(20951, 20955, 20962, 20975, 21049, 21090, 21092, 21093, 21094, 21358, 21361, 21374, 23953, 23986, 23987, 23988, 24152, 24153, 24154, 24159, 24290)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4240,7,-103.36487662,20.71202476
"2","5046","1403900015046","14","039","0001","4549",4.64807436919487,45.4205607477882,41.6001773050062,2.71739130427826,0.107526881645875,0,14.1935483868559,2.26049515608411,39.3125671319516,5.5853920514933,21,"Guadalajara",-0.306201314921147,"Medium","1545","23644",0,-0.137,-0.137,"c(20952, 20967, 20968, 20980, 20986, 20994, 21046, 21205, 21206, 21209, 21223, 21224, 21239, 21241, 21244, 23469, 23470, 23475, 23493, 23535, 23541)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4389,5,-103.27157188,20.68634112
"3","4508","1403900014508","14","039","0001","2683",5.09915014139829,12.6320845343165,27.0445036132923,1.80180180159038,0,0.138504155259101,0.277777777718516,2.34806629855471,6.94444444456297,0.833333333155548,21,"Guadalajara",-1.09965795948786,"Very low","2819","39288",0,0.036,0.036,"c(20953, 20954, 20976, 21006, 21007, 21059, 21075, 21084, 21085, 21087, 21088, 21232, 21363, 21364, 21365, 21374, 23913, 23925, 23955, 24272, 24290)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4084,3,-103.34275178,20.71618237
"4","3942","1403900013942","14","039","0001","3527",6.06531881820219,49.4252873562421,43.3153562304766,3.69501466266745,1.61943319863969,2.43243243236036,20.1623815968318,3.38753387516241,42.7027027029189,8.54816824970927,21,"Guadalajara",-0.046168364833155,"Medium","1022","18966",0,-0.137,-0.137,"c(20954, 20976, 21084, 21085, 21219, 21232, 21364, 21365, 21366, 21367, 21386, 21387, 21388, 21389, 23912, 23913, 23921, 23922, 23923, 23924, 23955)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,1,-103.33309407,20.72497707
"5","4071","1403900014071","14","039","0001","2393",1.9736842104421,22.7029914529276,24.5404018812917,3.08123249300766,0.147710487424125,0,0.741839762389704,1.49253731343284,10.882352941051,2.20588235316079,21,"Guadalajara",-1.02022551983546,"Very low","2714","37815",0,1.447,1.447,"c(20951, 20955, 20973, 20975, 21006, 21007, 21049, 21088, 21089, 21090, 21092, 21093, 21358, 21361, 21374, 23986, 23987, 23988, 24152, 24272, 24290)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3834,4,-103.35686229,20.71211661
"6","4599","1403900014599","14","039","0001","3729",1.81818181803636,9.57841483965553,28.246205733479,0.436205016349545,0,0,0,0.271002710034327,3.24909747268158,0.180831826509468,21,"Guadalajara",-1.34065599770542,"Very low","3066","42660",0,0.21,0.21,"c(20956, 20984, 20995, 21032, 21076, 21123, 21127, 21222, 21308, 21309, 21310, 21313, 21314, 21315, 23207, 23909, 23942, 24085, 24189, 24203, 24232)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4138,6,-103.39476659,20.6449738
"7","5648","1403900015648","14","039","0001","2071",4.26540284378642,7.32550103657148,24.2440604754223,1.70068027200725,0.340136054294779,0,0.340136054294779,2.09790209789837,2.87648054149126,0.16949152530621,21,"Guadalajara",-1.23315078952428,"Very low","2946","41357",0,3.353,3.353,"c(20957, 20958, 20959, 20960, 20985, 20996, 20999, 21001, 21076, 21081, 21123, 21225, 23932, 23943, 23981, 24081, 24095, 24189, 24234, 24273, 24277)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-103.39901616,20.67029035
"8","1753","1403900011753","14","039","0001","2625",1.2396694216551,10.0908656147135,28.9708265804387,23.6754966889713,0.243309002595303,0,0,0.878293600738759,2.66343825664052,0.364520048835976,21,"Guadalajara",-0.244406128676386,"Medium","1418","22420",0,2.51,2.51,"c(20957, 20958, 20959, 20985, 20996, 20999, 21001, 21076, 21123, 21222, 21225, 21315, 23932, 23942, 23943, 23981, 24014, 24081, 24189, 24273, 24277)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1896,56,-103.39861722,20.66424517
"9","1274","1403900011274","14","039","0001","1939",1.85185185163456,14.0540540541117,34.1804979252271,1.83908045959846,0,0,0,0.644122383362753,3.69774919618092,0.160771704181779,21,"Guadalajara",-1.18863028377266,"Very low","2897","40731",125,8.182,8.182,"c(20957, 20958, 20959, 20960, 20961, 20996, 20998, 20999, 21001, 21010, 21080, 21081, 21225, 21324, 23932, 23981, 24081, 24095, 24234, 24273, 24277)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1384,37,-103.39781153,20.67650968
"10","1043","1403900011043","14","039","0001","2105",1.38888888912594,8.96471949079344,27.8074866309562,2.2556390978005,0.151515151725262,0,0,1.21028744326455,2.26586102720967,0.302571860816137,21,"Guadalajara",-1.26775836847909,"Very low","2986","41793",1388,8.182,8.182,"c(20957, 20958, 20959, 20960, 20961, 20998, 20999, 21001, 21010, 21080, 21081, 21115, 21116, 21225, 21324, 23981, 24086, 24095, 24234, 24273, 24277)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1134,213,-103.39803361,20.68123945
