"","CVE_AGEB","CVEGEO","CVE_ENT","CVE_MUN","CVE_LOC","POB_2010","IND1","IND2","IND3","IND4","IND5","IND6","IND7","IND8","IND9","IND10","CVE_SUN","NOM_SUN","IMU2010","GMU2010","LUGAR_EDO","LUGAR_NAC","total_n","localGvalues","localGvalues.est.num","KNN","dist_num.sy","time_mins.sy","dist_num.otay","time_mins.otay","dist_num.west","time_mins.west","dist_num.east","time_mins.east","dist_num","time_mins","X","establecimientos.num","x","y"
"1","2062","1900600012062","19","006","0001","232",0,15.7480314962058,14.7826086957217,0.909090909284857,0,0,0,3.57142857142857,60.7142857142857,3.57142857142857,31,"Monterrey",-0.835218906985946,"Low","1026","34187",0,-0.137,-0.137,"c(32616, 32617, 32618, 32620, 32622, 32626, 32627, 32684, 32691, 32705, 32706, 32717, 32749, 32766, 32767, 32768, 32771, 32782, 32796, 33324, 33325)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2209,3,-100.25319755,25.8046126
"2","1717","1900600011717","19","006","0001","1634",1.67130919221839,18.1525241673532,18.2879377433982,1.43790849648801,0.25839793262497,0,0.518134714785482,2.57731958778832,37.6288659794694,0.515463917344322,31,"Monterrey",-0.95709108350461,"Low","1198","36572",0,-0.137,-0.137,"c(32616, 32617, 32618, 32619, 32620, 32622, 32626, 32686, 32691, 32706, 32716, 32717, 32749, 32770, 32782, 32797, 32820, 33259, 33323, 33324, 33325)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1857,9,-100.25529681,25.81710133
"3","1115","1900600011115","19","006","0001","1767",0.688073394240968,19.9484092864142,14.5631067962097,1.55279503093995,0,0,0,1.23456790108971,37.037037036958,0.987654321191778,31,"Monterrey",-1.01142999039088,"Very low","1316","37652",0,-0.137,-0.137,"c(32616, 32617, 32618, 32619, 32620, 32622, 32626, 32686, 32691, 32706, 32716, 32717, 32749, 32766, 32770, 32771, 32782, 32796, 33259, 33324, 33325)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1209,9,-100.25396701,25.80953751
"4","2058","1900600012058","19","006","0001","1558",1.22324159035434,16.276595744522,18.4434270765761,2.47218788640594,0.518134714785482,0,0.259067357659419,0.259740259643286,30.1546391750433,2.31958762884948,31,"Monterrey",-1.01529139099686,"Very low","1320","37716",0,-0.137,-0.137,"c(32617, 32618, 32619, 32620, 32622, 32626, 32686, 32691, 32706, 32716, 32717, 32749, 32770, 32782, 32789, 32797, 32820, 33254, 33259, 33323, 33325)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2205,3,-100.25622119,25.82192963
"5","0831","1900600010831","19","006","0001","1595",3.59116022097385,24.6531483456433,21.059602648823,1.79028132997784,11.4058355437892,7.95755968177542,16.1803713528545,10.3174603176974,40.4761904760127,14.1333333335822,31,"Monterrey",-0.356026533436778,"Medium","396","24613",0,-0.137,-0.137,"c(32616, 32617, 32618, 32620, 32622, 32626, 32691, 32703, 32705, 32706, 32711, 32712, 32749, 32766, 32771, 32796, 33259, 33283, 33291, 33324, 33325)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,903,80,-100.26000172,25.80588675
"6","1755","1900600011755","19","006","0001","148",3.03030303023838,12.5,14.8648648647207,2.66666666684445,0,0,0,0,48.7179487180992,2.56410256433505,31,"Monterrey",-0.858497444421377,"Low","1061","34631",0,-0.137,-0.137,"c(32621, 32623, 32624, 32627, 32684, 32688, 32689, 32707, 32739, 32764, 32765, 32767, 32768, 32771, 32772, 32773, 32781, 32782, 32817, 32818, 32819)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1898,2,-100.23806431,25.79988553
"7","1736","1900600011736","19","006","0001","88",0,14.035087719055,27.2727272726788,4.6511627904496,0,0,0,0,11.5384615387077,0,31,"Monterrey",-1.09506885934315,"Very low","1481","39206",0,-0.137,-0.137,"c(32616, 32617, 32618, 32619, 32620, 32622, 32626, 32684, 32686, 32691, 32706, 32707, 32716, 32717, 32739, 32749, 32769, 32770, 32771, 32782, 32820)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1878,3,-100.2475969,25.81339741
"8","2096","1900600012096","19","006","0001","941",2.01342281896377,11.3793103446988,13.4657836645251,2.99251870303308,0,0,0,0,29.3680297399276,2.23048327115736,31,"Monterrey",-1.05765880528848,"Very low","1399","38489",0,-0.137,-0.137,"c(32621, 32623, 32624, 32625, 32677, 32684, 32688, 32689, 32707, 32764, 32765, 32767, 32768, 32771, 32772, 32773, 32781, 32795, 32817, 32818, 32819)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2241,2,-100.23417666,25.79696347
"9","176A","190060001176A","19","006","0001","1540",1.95439739387969,15.5579399139021,10.2970297031815,1.13636363660607,0,0,0.240963855415261,0.241545893761032,27.9518072287036,1.44578313249156,31,"Monterrey",-1.14713107799133,"Very low","1558","40077",0,-0.137,-0.137,"c(32621, 32623, 32624, 32625, 32627, 32677, 32684, 32688, 32689, 32707, 32764, 32765, 32767, 32768, 32771, 32772, 32773, 32781, 32795, 32817, 32819)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1913,2,-100.23483878,25.79519293
"10","1740","1900600011740","19","006","0001","615",3.77358490580126,23.0769230768821,12.6956521737971,2.38907849834084,0,0,0,0.662251655781022,38.157894736814,1.98675496680971,31,"Monterrey",-0.863231614266961,"Low","1070","34724",0,-0.137,-0.137,"c(32616, 32617, 32618, 32620, 32622, 32626, 32627, 32684, 32691, 32705, 32706, 32717, 32749, 32766, 32767, 32768, 32771, 32782, 32796, 33324, 33325)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-100.25342171,25.80591658
"11","2081","1900600012081","19","006","0001","621",0,8.9473684208842,11.5823817290614,0.711743771981958,0,0,0,0.598802395254293,25.4437869821759,1.77514792923709,31,"Monterrey",-1.28195949928993,"Very low","1731","42004",0,-0.137,-0.137,"c(32616, 32621, 32623, 32624, 32627, 32684, 32689, 32692, 32705, 32721, 32764, 32765, 32766, 32767, 32768, 32771, 32772, 32773, 32788, 32793, 32796)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2226,2,-100.24666159,25.79341908
