"","X.1","CVE_AGEB","CVEGEO","CVE_ENT","CVE_MUN","CVE_LOC","POB_2010","IND1","IND2","IND3","IND4","IND5","IND6","IND7","IND8","IND9","IND10","CVE_SUN","NOM_SUN","IMU2010","GMU2010","LUGAR_EDO","LUGAR_NAC","total_n","localGvalues","localGvalues.est.num","KNN","dist_num.sy","time_mins.sy","dist_num.otay","time_mins.otay","dist_num.west","time_mins.west","dist_num.east","time_mins.east","dist_num","time_mins","X","establecimientos.num","x","y","latlon","dest.west","dest.east"
"1",1,"7711","0200200017711",2,2,1,247,2.70270270291893,10.9375,14.8514851484092,1.28205128190085,0,0,0,0,26.0869565219246,0,3,"Mexicali",-1.16279152271452,"Very low",1239,40345,0,-0.137,-0.137,"c(753, 754, 755, 756, 781, 782, 783, 784, 790, 829, 833, 834, 868, 869, 881, 882, 932, 933, 1019, 1022, 1051)",NA,NA,NA,NA,11.22,21.55,11.22,21.55,NA,NA,NA,0,-115.44963175,32.59319755,"32.59319755,-115.44963175","32.664679, -115.498365","32.672920, -115.387876"
"2",2,"7707","0200200017707",2,2,1,272,0,32.7272727273212,16.73003802269,4.13793103462989,0,0,0,1.25,37.5,13.75,3,"Mexicali",-0.665884077480228,"Low",785,30827,0,-0.137,-0.137,"c(757, 825, 880, 946, 947, 948, 949, 950, 951, 952, 955, 956, 957, 993, 994, 1006, 1023, 1024, 1038, 1048, 1049)",NA,NA,NA,NA,13.47,22.13,13.47,22.13,NA,NA,NA,0,-115.50743222,32.58295883,"32.58295883,-115.50743222","32.664679, -115.498365","32.672920, -115.387876"
"3",3,"2725","0200200012725",2,2,1,1256,2.51572327035639,36.7556468170656,34.2764753436146,3.82978723409929,8.70712401078629,0.263157894512271,2.89473684230176,2.38095238113017,24.4736842104421,7.65171503978189,3,"Mexicali",-0.555034293569727,"Medium",685,28589,0,25.621,25.621,"c(758, 759, 791, 793, 794, 855, 861, 862, 864, 865, 931, 953, 954, 958, 959, 960, 962, 963, 964, 1012, 1013)",NA,NA,NA,NA,1.82,3.9,1.82,3.9,NA,NA,2835,1,-115.48604113,32.65289855,"32.65289855,-115.48604113","32.664679, -115.498365","32.672920, -115.387876"
"4",4,"3140","0200200013140",2,2,1,4219,5.13513513527929,46.2696554030687,24.4873628996016,4.5431342520456,2.1798365122703,0.362647325691155,1.92131747470765,3.44827586201379,34.5945945946955,4.995458674175,3,"Mexicali",-0.393546157533434,"Medium",545,25363,0,-0.137,-0.137,"c(760, 764, 765, 766, 803, 804, 805, 807, 817, 838, 839, 888, 889, 893, 896, 897, 924, 1020, 1025, 1028, 1029)",NA,NA,NA,NA,14.65,25.77,14.65,25.77,NA,NA,3165,6,-115.40084406,32.58117372,"32.58117372,-115.40084406","32.664679, -115.498365","32.672920, -115.387876"
"5",5,"6592","0200200016592",2,2,1,2925,3.15789473681403,27.634529148171,17.3083593479268,2.57566001300331,0,0.118906063986673,0.122850123078143,0.119189511367503,57.0749108202743,3.45238095255874,3,"Mexicali",-0.63412997155018,"Low",754,30197,0,-0.137,-0.137,"c(761, 762, 763, 773, 774, 775, 776, 835, 878, 984, 1020, 1021, 1028, 1054, 1055, 1057, 1060, 1068, 1075, 1153, 1158)",NA,NA,NA,NA,18.17,32.28,18.17,32.28,NA,NA,NA,0,-115.37302922,32.56839575,"32.56839575,-115.37302922","32.664679, -115.498365","32.672920, -115.387876"
"6",6,"7054","0200200017054",2,2,1,3117,6.86868686843366,35.8018636586486,22.7096774191828,3.34277620401889,0,0,0,10.3773584906868,51.8867924529006,4.91631799159386,3,"Mexicali",-0.281064521095921,"Medium",455,23142,0,-0.137,-0.137,"c(761, 762, 763, 773, 774, 775, 776, 878, 1021, 1045, 1054, 1055, 1057, 1060, 1061, 1068, 1151, 1153, 1154, 1155, 1158)",NA,NA,NA,NA,19.83,36.37,19.83,36.37,NA,NA,4982,2,-115.36038915,32.56015362,"32.56015362,-115.36038915","32.664679, -115.498365","32.672920, -115.387876"
"7",7,"6588","0200200016588",2,2,1,2852,3.60360360371412,29.8326601271586,19.0203789776301,2.23097112838914,0,0.123915737405044,0,0.371747211681775,65.9653465348066,3.73134328358209,3,"Mexicali",-0.527297121329519,"Medium",661,28041,0,-0.137,-0.137,"c(761, 762, 763, 773, 774, 775, 776, 835, 878, 887, 888, 984, 1020, 1021, 1028, 1029, 1033, 1054, 1055, 1068, 1075)",NA,NA,NA,NA,18.1,32.1,18.1,32.1,NA,NA,4917,1,-115.37554105,32.57463939,"32.57463939,-115.37554105","32.664679, -115.498365","32.672920, -115.387876"
"8",8,"316A","020020001316A",2,2,1,2522,4.96613995503628,48.7179487180992,22.3110755697201,3.93419170262967,2.87878787904648,0.913242009273674,2.318392581227,4.25531914911774,37.518910741201,5.19083969445292,3,"Mexicali",-0.372574216288028,"Medium",528,24931,0,-0.137,-0.137,"c(760, 763, 764, 765, 766, 803, 804, 805, 817, 838, 839, 888, 893, 896, 924, 934, 935, 1025, 1028, 1062, 1063)",NA,NA,NA,NA,17.19,26.92,17.19,26.92,NA,NA,3185,2,-115.40414563,32.57233294,"32.57233294,-115.40414563","32.664679, -115.498365","32.672920, -115.387876"
"9",9,"3189","0200200013189",2,2,1,852,8.4745762711774,44.0677966100158,21.3253012050506,4.140786749351,6.00858369100773,6.4102564100376,18.4549356223428,4.74137931060231,48.0686695280618,8.22510822523752,3,"Mexicali",-0.042319187685796,"Medium",334,18915,0,-0.137,-0.137,"c(760, 763, 764, 765, 766, 803, 805, 806, 828, 838, 839, 888, 893, 896, 924, 934, 935, 1025, 1028, 1062, 1063)",NA,NA,NA,NA,16.43,26.18,16.43,26.18,NA,NA,NA,0,-115.40664875,32.56742874,"32.56742874,-115.40664875","32.664679, -115.498365","32.672920, -115.387876"
"10",10,"3935","0200200013935",2,2,1,133,0,31.914893616783,31.5789473686737,3.27868852459016,0,15.1515151517253,19.3548387095914,3.125,21.212121212202,0,3,"Mexicali",-0.633641101474876,"Low",753,30186,0,-0.137,-0.137,"c(766, 782, 790, 802, 803, 806, 807, 828, 829, 833, 834, 881, 882, 896, 897, 915, 932, 934, 1051, 1062, 1063)",NA,NA,NA,NA,12.24,20.63,12.24,20.63,NA,NA,NA,0,-115.42591934,32.5875498,"32.5875498,-115.42591934","32.664679, -115.498365","32.672920, -115.387876"
"11",11,"4350","0200200014350",2,2,1,2690,2.99539170489707,45.7286432160831,24.2969628795099,1.57977883107152,2.30547550453027,2.30547550453027,4.59770114952951,2.44604316553286,31.6618911176206,4.04624277443082,3,"Mexicali",-0.615219435157977,"Medium",737,29821,0,-0.137,-0.137,"c(752, 767, 768, 769, 770, 771, 872, 883, 905, 906, 907, 908, 989, 997, 1041, 1042, 1043, 1069, 1070, 1071, 1072)",NA,NA,NA,NA,11.1,19.07,11.1,19.07,NA,NA,NA,0,-115.39157129,32.66142627,"32.66142627,-115.39157129","32.664679, -115.498365","32.672920, -115.387876"
"12",12,"4365","0200200014365",2,2,1,2553,3.69458128084335,36.2979433019091,26.8904164982399,0.709849157229703,1.60771704181779,0.96618357504413,2.10696920594706,1.13636363660607,30.0970873786201,3.42019543982281,3,"Mexicali",-0.764045787068447,"Low",857,32753,0,-0.137,-0.137,"c(752, 767, 768, 769, 770, 771, 872, 883, 902, 904, 905, 906, 907, 989, 1041, 1042, 1043, 1069, 1070, 1071, 1072)",NA,NA,NA,NA,11.78,20.78,11.78,20.78,NA,NA,4004,1,-115.38568183,32.66053394,"32.66053394,-115.38568183","32.664679, -115.498365","32.672920, -115.387876"
"13",13,"387A","020020001387A",2,2,1,730,1.66666666684445,41.3127413127701,19.8863636366061,0.675675675863071,8.58585858567541,27.5510204080109,16.6666666668445,3.55329949261862,27.7777777777185,1.61290322575484,3,"Mexicali",-0.508348093149842,"Medium",640,27675,0,-0.137,-0.137,"c(752, 767, 768, 769, 770, 771, 872, 883, 902, 904, 905, 906, 989, 990, 1041, 1042, 1067, 1069, 1070, 1071, 1072)",NA,NA,NA,NA,13.02,20.18,13.02,20.18,NA,NA,3728,1,-115.3736934,32.65853646,"32.65853646,-115.3736934","32.664679, -115.498365","32.672920, -115.387876"
"14",14,"3884","0200200013884",2,2,1,2315,2.94117647052549,10.1242236023685,14.4902386114487,1.0669253149729,1.18043844853783,4.21585160184462,2.88135593233899,1.00840336112492,6.89075630270925,0.8561643836274,3,"Mexicali",-1.26350033002805,"Very low",1298,41737,0,-0.137,-0.137,"c(752, 767, 768, 770, 771, 816, 872, 883, 902, 905, 906, 907, 989, 990, 1041, 1042, 1043, 1069, 1070, 1071, 1072)",NA,NA,NA,NA,11.74,20.08,11.74,20.08,NA,NA,3732,3,-115.39538547,32.65422257,"32.65422257,-115.39538547","32.664679, -115.498365","32.672920, -115.387876"
"15",15,"7586","0200200017586",2,2,1,98,0,6.66666666684445,9.09090909071514,2.3255813952248,0,0,0,0,0,0,3,"Mexicali",-1.48319737285948,"Very low",1368,43510,0,-0.137,-0.137,"c(752, 767, 768, 770, 771, 816, 872, 883, 899, 902, 904, 905, 906, 990, 1041, 1042, 1043, 1069, 1070, 1071, 1072)",NA,NA,NA,NA,12.41,20.4,12.41,20.4,NA,NA,NA,0,-115.39592223,32.64791981,"32.64791981,-115.39592223","32.664679, -115.498365","32.672920, -115.387876"
"16",16,"6605","0200200016605",2,2,1,2932,0.70093457946916,6.131834440369,13.062098501146,1.31118881138649,0.464576074496949,0.116009280834033,0.116279070027918,2.42494226354551,8.40046029946085,0.692041522633455,3,"Mexicali",-1.37444221709658,"Very low",1346,42960,0,-0.137,-0.137,"c(772, 818, 820, 836, 886, 890, 891, 892, 901, 903, 1018, 1033, 1034, 1036, 1037, 1056, 1058, 1059, 1067, 1073, 1074)",NA,NA,NA,NA,15.45,27.17,15.45,27.17,NA,NA,NA,0,-115.37329864,32.61682567,"32.61682567,-115.37329864","32.664679, -115.498365","32.672920, -115.387876"
"17",17,"6198","0200200016198",2,2,1,3475,3.4246575345096,27.7752187930824,16.3188405796792,2.95064377657224,0.306748466434363,0.102459016393443,0.105820105899122,0.511247443879487,59.1002044992415,2.1516393442623,3,"Mexicali",-0.602257265323419,"Medium",725,29575,0,-0.137,-0.137,"c(773, 774, 775, 776, 819, 835, 885, 887, 984, 991, 1020, 1021, 1035, 1045, 1054, 1055, 1075, 1076, 1153, 1154, 1158)",NA,NA,NA,NA,18.26,32.42,18.26,32.42,NA,NA,4834,1,-115.35633463,32.58107241,"32.58107241,-115.35633463","32.664679, -115.498365","32.672920, -115.387876"
"18",18,"679A","020020001679A",2,2,1,1087,0.460829493225198,11.4245416079278,16.1588180980944,2.70793036757189,0,0,0,0.311526479764071,28.3489096574638,0.3125,3,"Mexicali",-1.1174249288699,"Very low",1210,39584,0,-0.137,-0.137,"c(761, 763, 773, 774, 775, 776, 835, 887, 984, 1020, 1021, 1035, 1045, 1054, 1055, 1068, 1075, 1076, 1153, 1154, 1158)",NA,NA,NA,NA,17.39,30.48,17.39,30.48,NA,NA,4954,1,-115.36125213,32.57985971,"32.57985971,-115.36125213","32.664679, -115.498365","32.672920, -115.387876"
"19",19,"7567","0200200017567",2,2,1,886,2.3076923075282,20.0339558576145,15.5963302751511,3.11111111087406,0,0,0,0.738007380097418,27.3062730625378,4.81481481467654,3,"Mexicali",-0.941314242846097,"Low",1039,36285,0,-0.137,-0.137,"c(761, 762, 763, 773, 774, 775, 776, 835, 878, 1020, 1021, 1045, 1054, 1055, 1057, 1060, 1061, 1068, 1153, 1154, 1158)",NA,NA,NA,NA,18.76,33.58,18.76,33.58,NA,NA,NA,0,-115.362064,32.56661862,"32.56661862,-115.362064","32.664679, -115.498365","32.672920, -115.387876"
"20",20,"6658","0200200016658",2,2,1,2817,5.3803339518872,28.4575981788965,17.5125089348906,2.08613728138538,0.245700245622929,0,0.246609124680976,0.736196318802445,55.024509803681,3.56703567011528,3,"Mexicali",-0.595265353653939,"Medium",713,29415,0,-0.137,-0.137,"c(761, 762, 763, 773, 774, 775, 776, 835, 878, 887, 984, 1020, 1021, 1028, 1054, 1055, 1060, 1068, 1075, 1153, 1158)",NA,NA,NA,NA,17.58,30.68,17.58,30.68,NA,NA,4925,2,-115.37013554,32.57243,"32.57243,-115.37013554","32.664679, -115.498365","32.672920, -115.387876"
"21",21,"298A","020020001298A",2,2,1,4746,4.07124681908464,37.6700177409864,27.4447278914104,2.61241970044255,3.80258899701921,0.324412003104833,2.99401197627147,6.20967741918279,30.2663438255574,3.14769975789637,3,"Mexicali",-0.567749162643482,"Medium",692,28837,0,-0.137,-0.137,"c(777, 778, 779, 780, 783, 784, 787, 788, 789, 798, 799, 800, 808, 809, 810, 811, 812, 833, 854, 942, 988)",NA,NA,NA,NA,8.72,15.45,8.72,15.45,NA,NA,3044,6,-115.45244168,32.617319,"32.617319,-115.45244168","32.664679, -115.498365","32.672920, -115.387876"
"22",22,"4789","0200200014789",2,2,1,2128,2.86624203803651,38.5365853658146,23.4479465139938,1.94274028652871,26.6313932982114,0.352733686330405,1.24113475182601,6.14035087728655,24.8239436619117,2.64084507025727,3,"Mexicali",-0.600458953376335,"Medium",722,29538,0,-0.137,-0.137,"c(777, 778, 779, 780, 784, 787, 788, 789, 796, 798, 799, 808, 810, 811, 812, 830, 854, 941, 942, 988, 992)",NA,NA,NA,NA,8.11,14.22,8.11,14.22,NA,NA,4245,3,-115.45797549,32.62175077,"32.62175077,-115.45797549","32.664679, -115.498365","32.672920, -115.387876"
"23",23,"0659","0200200010659",2,2,1,3883,3.72439478604495,29.9789621316548,24.6166263116169,2.1587743730154,3.75722543370482,0.869565217646388,3.47155255563665,2.12355212337914,20.4238921000159,2.50723240093757,3,"Mexicali",-0.822352183386415,"Low",920,33928,0,-0.137,-0.137,"c(756, 777, 778, 779, 780, 783, 784, 788, 789, 798, 800, 824, 833, 854, 868, 869, 942, 988, 998, 1019, 1080)",NA,NA,NA,NA,8.78,16.88,8.78,16.88,NA,NA,714,11,-115.45617849,32.60910166,"32.60910166,-115.45617849","32.664679, -115.498365","32.672920, -115.387876"
"24",24,"4878","0200200014878",2,2,1,2760,3.68421052637193,40.7680945349255,27.3707698027454,1.90174326446148,3.35195530728045,2.94117647052549,4.95049504964753,3.63128491595381,33.9385474860812,4.34173669481382,3,"Mexicali",-0.551870808822556,"Medium",681,28538,0,-0.137,-0.137,"c(756, 777, 778, 779, 780, 783, 784, 789, 798, 799, 800, 801, 802, 810, 833, 834, 854, 914, 932, 1017, 1051)",NA,NA,NA,NA,9.89,17.32,9.89,17.32,NA,NA,4292,1,-115.44604342,32.60997562,"32.60997562,-115.44604342","32.664679, -115.498365","32.672920, -115.387876"
