"","municipios","coords.lon","coords.lat","lon","lat","municipios2"
"1"," Abasolo, Guanajuato",-101.52696,  20.45364,-101.55196,20.37864," Abasolo,
Guanajuato"
"2"," Acajete, Puebla", -97.95224,  19.10613, -97.97724,19.03113," Acajete,
Puebla"
"3"," Acala, Chiapas", -92.80695,  16.55350, -92.83195,16.47850," Acala,
Chiapas"
"4"," Acapulco De Juarez, Guerrero", -99.82365,  16.85311, -99.84865,16.77811," Acapulco De Juarez,
Guerrero"
"5"," Acatlan, Puebla", -98.04981,  18.20319, -98.07481,18.12819," Acatlan,
Puebla"
"6"," Acatzingo, Puebla", -97.78427,  18.98064, -97.80927,18.90564," Acatzingo,
Puebla"
"7"," Actopan, Hidalgo", -98.95214,  20.27435, -98.97714,20.19935," Actopan,
Hidalgo"
"8"," Agua Dulce, Veracruz De Ignacio De La Llave", -94.14360,  18.14259, -94.16860,18.06759," Agua Dulce,
Veracruz De Ignacio De La Llave"
"9"," Aguascalientes, Aguascalientes",-102.29157,  21.88526,-102.31657,21.81026," Aguascalientes,
Aguascalientes"
"10"," Ahome, Sinaloa",-108.99173,  25.79041,-109.01673,25.71541," Ahome,
Sinaloa"
"11"," Ajalpan, Puebla", -97.25913,  18.37816, -97.28413,18.30316," Ajalpan,
Puebla"
"12"," Alvaro Obregon, Ciudad De Mexico", -99.22671,  19.36053, -99.25171,19.28553," Alvaro Obregon,
Ciudad De Mexico"
"13"," Amecameca, Mexico", -98.76711,  19.12524, -98.79211,19.05024," Amecameca,
Mexico"
"14"," Apatzingan, Michoacan De Ocampo",-102.35367,  19.08373,-102.37867,19.00873," Apatzingan,
Michoacan De Ocampo"
"15"," Apetatitlan De Antonio Carvajal, Tlaxcala", -98.19646,  19.33208, -98.22146,19.25708," Apetatitlan De Antonio Carvajal,
Tlaxcala"
"16"," Apodaca, Nuevo Leon",-100.18587,  25.77647,-100.21087,25.70147," Apodaca,
Nuevo Leon"
"17"," Atizapan De Zaragoza, Mexico", -99.26747,  19.55623, -99.29247,19.48123," Atizapan De Zaragoza,
Mexico"
"18"," Atlixco, Puebla", -98.42939,  18.91312, -98.45439,18.83812," Atlixco,
Puebla"
"19"," Atoyac De Alvarez, Guerrero",-100.43212,  17.20564,-100.45712,17.13064," Atoyac De Alvarez,
Guerrero"
"20"," Atzalan, Veracruz De Ignacio De La Llave", -97.24282,  19.78695, -97.26782,19.71195," Atzalan,
Veracruz De Ignacio De La Llave"
"21"," Axochiapan, Morelos", -98.75362,  18.50366, -98.77862,18.42866," Axochiapan,
Morelos"
"22"," Azcapotzalco, Ciudad De Mexico", -99.18867,  19.48466, -99.21367,19.40966," Azcapotzalco,
Ciudad De Mexico"
"23"," Bahia De Banderas, Nayarit",-105.24809,  20.80748,-105.27309,20.73248," Bahia De Banderas,
Nayarit"
"24"," Benito Juarez, Ciudad De Mexico", -99.15914,  19.37941, -99.18414,19.30441," Benito Juarez,
Ciudad De Mexico"
"25"," Benito Juarez, Quintana Roo", -86.86640,  21.13990, -86.89140,21.06490," Benito Juarez,
Quintana Roo"
"26"," Cadereyta Jimenez, Nuevo Leon", -99.99682,  25.58599,-100.02182,25.51099," Cadereyta Jimenez,
Nuevo Leon"
"27"," Cajeme, Sonora",-109.94006,  27.49340,-109.96506,27.41840," Cajeme,
Sonora"
"28"," Campeche, Campeche", -90.53491,  19.83013, -90.55991,19.75513," Campeche,
Campeche"
"29"," Catemaco, Veracruz De Ignacio De La Llave", -95.11297,  18.42126, -95.13797,18.34626," Catemaco,
Veracruz De Ignacio De La Llave"
"30"," Celaya, Guanajuato",-100.81129,  20.52796,-100.83629,20.45296," Celaya,
Guanajuato"
"31"," Centro, Tabasco", -92.93444,  17.99151, -92.95944,17.91651," Centro,
Tabasco"
"32"," Chalchicomula De Sesma, Puebla", -97.44449,  18.98540, -97.46949,18.91040," Chalchicomula De Sesma,
Puebla"
